token_budget,top_k,candidate_k,memory_count,forgetting_threshold,run_count,query_count,memory_retrieval_accuracy,answer_accuracy,response_correctness,stale_retrieval_rate,relevant_loss_rate,stale_retrieval_case_rate,mean_retrieval_latency_ms,p95_retrieval_latency_ms,mean_selected_token_proxy,mean_token_budget_used_ratio,mean_selected_memory_count,mean_estimated_memory_storage_bytes,max_estimated_memory_storage_bytes,mean_estimated_faiss_index_bytes,max_faiss_index_size,mean_retrieval_rss_peak_bytes,max_retrieval_rss_peak_bytes,rss_available,token_metric
64,3,20,100,0.3,9,3,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6509333333333333,0.8927399999999999,49.666666666666664,0.7760416666666666,3.0,14885.0,14885,12800.0,100,69307050.66666667,69767168,True,deterministic_proxy_not_real_tokenizer
64,3,20,500,0.3,9,3,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.0,0.577388888888889,0.64222,49.666666666666664,0.7760416666666666,3.0,74378.0,74378,64000.0,500,71800149.33333333,72777728,True,deterministic_proxy_not_real_tokenizer
64,3,20,1000,0.3,9,3,0.0,0.5,0.5,0.0,1.0,0.0,0.6421555555555556,0.76074,51.0,0.796875,3.0,148743.0,148743,128000.0,1000,74653696.0,75509760,True,deterministic_proxy_not_real_tokenizer
64,3,20,2000,0.3,9,3,0.0,0.5,0.5,0.0,1.0,0.0,0.6626888888888889,0.76732,51.0,0.796875,3.0,297473.0,297473,256000.0,2000,79882922.66666667,80822272,True,deterministic_proxy_not_real_tokenizer
64,5,5,100,0.3,9,3,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.0,0.30991111111111114,0.33486,55.333333333333336,0.8645833333333334,3.3333333333333335,14885.0,14885,12800.0,100,69401258.66666667,69767168,True,deterministic_proxy_not_real_tokenizer
64,5,5,500,0.3,9,3,0.0,0.5,0.5,0.0,1.0,0.0,0.2644888888888889,0.29232,51.0,0.796875,3.0,74378.0,74378,64000.0,500,71802880.0,72777728,True,deterministic_proxy_not_real_tokenizer
64,5,5,1000,0.3,9,3,0.0,0.5,0.5,0.0,1.0,0.0,0.32903333333333334,0.39212,51.0,0.796875,3.0,148743.0,148743,128000.0,1000,74653696.0,75509760,True,deterministic_proxy_not_real_tokenizer
64,5,5,2000,0.3,9,3,0.0,0.5,0.5,0.0,1.0,0.0,0.37593333333333334,0.4206,51.0,0.796875,3.0,297473.0,297473,256000.0,2000,79885653.33333333,80822272,True,deterministic_proxy_not_real_tokenizer
64,5,10,100,0.3,9,3,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.0,0.39084444444444444,0.46778,55.333333333333336,0.8645833333333334,3.3333333333333335,14885.0,14885,12800.0,100,69414912.0,69767168,True,deterministic_proxy_not_real_tokenizer
64,5,10,500,0.3,9,3,0.0,0.5,0.5,0.0,1.0,0.0,0.39030000000000004,0.45076,51.0,0.796875,3.0,74378.0,74378,64000.0,500,71802880.0,72777728,True,deterministic_proxy_not_real_tokenizer
