run_id,repeat_index,query_id,token_budget,top_k,candidate_k,memory_count,forgetting_threshold,seed,embedding_backend,embedding_dim,current_time,retrieval_latency_ms,selected_token_proxy,selected_memory_count,retrieved_count_before_budget,candidate_count_before_forgetting,candidate_count_after_forgetting,memory_retrieval_accuracy,answer_accuracy,response_correctness,stale_retrieval_rate,relevant_loss_rate,stale_retrieval_case_rate,token_budget_used_ratio,estimated_memory_storage_bytes,estimated_faiss_index_bytes,faiss_index_size,retrieval_rss_before_bytes,retrieval_rss_peak_bytes,retrieval_rss_delta_bytes,token_metric,selected_memory_ids,local_only,cloud_api_used,llm_called
budget_sweep_20260716,0,q_food,256,1,10,100,0.3,42,hash,32,2026-07-10 10:00,0.3161,13,1,1,10,10,1.0,1.0,1.0,0.0,0.0,0.0,0.05078125,14885,12800,100,67149824,67149824,0,deterministic_proxy_not_real_tokenizer,"[""e0e651503c182443""]",True,False,False
budget_sweep_20260716,0,q_hobby,256,1,10,100,0.3,42,hash,32,2026-07-10 10:00,0.3199,17,1,1,10,10,0.0,0.0,0.0,0.0,1.0,0.0,0.06640625,14885,12800,100,67149824,67149824,0,deterministic_proxy_not_real_tokenizer,"[""478262c489e87c89""]",True,False,False
budget_sweep_20260716,0,q_book,512,1,10,100,0.3,42,hash,32,2026-07-10 10:00,0.3087,17,1,1,10,10,0.0,1.0,1.0,0.0,1.0,0.0,0.033203125,14885,12800,100,67149824,67149824,0,deterministic_proxy_not_real_tokenizer,"[""39a02bac3fdeec9c""]",True,False,False
budget_sweep_20260716,0,q_food,512,1,10,100,0.3,42,hash,32,2026-07-10 10:00,0.3002,13,1,1,10,10,1.0,1.0,1.0,0.0,0.0,0.0,0.025390625,14885,12800,100,67149824,67149824,0,deterministic_proxy_not_real_tokenizer,"[""e0e651503c182443""]",True,False,False
budget_sweep_20260716,0,q_hobby,512,1,10,100,0.3,42,hash,32,2026-07-10 10:00,0.3108,17,1,1,10,10,0.0,0.0,0.0,0.0,1.0,0.0,0.033203125,14885,12800,100,67149824,67153920,4096,deterministic_proxy_not_real_tokenizer,"[""478262c489e87c89""]",True,False,False
budget_sweep_20260716,0,q_book,64,1,20,100,0.3,42,hash,32,2026-07-10 10:00,0.484,17,1,1,20,20,0.0,1.0,1.0,0.0,1.0,0.0,0.265625,14885,12800,100,67223552,67227648,4096,deterministic_proxy_not_real_tokenizer,"[""39a02bac3fdeec9c""]",True,False,False
budget_sweep_20260716,0,q_food,64,1,20,100,0.3,42,hash,32,2026-07-10 10:00,0.4854,13,1,1,20,20,1.0,1.0,1.0,0.0,0.0,0.0,0.203125,14885,12800,100,67227648,67227648,0,deterministic_proxy_not_real_tokenizer,"[""e0e651503c182443""]",True,False,False
budget_sweep_20260716,0,q_hobby,64,1,20,100,0.3,42,hash,32,2026-07-10 10:00,0.4801,17,1,1,20,20,0.0,0.0,0.0,0.0,1.0,0.0,0.265625,14885,12800,100,67227648,67227648,0,deterministic_proxy_not_real_tokenizer,"[""478262c489e87c89""]",True,False,False
budget_sweep_20260716,0,q_book,128,1,20,100,0.3,42,hash,32,2026-07-10 10:00,0.5526,17,1,1,20,20,0.0,1.0,1.0,0.0,1.0,0.0,0.1328125,14885,12800,100,67227648,67227648,0,deterministic_proxy_not_real_tokenizer,"[""39a02bac3fdeec9c""]",True,False,False
budget_sweep_20260716,0,q_food,128,1,20,100,0.3,42,hash,32,2026-07-10 10:00,0.5979,13,1,1,20,20,1.0,1.0,1.0,0.0,0.0,0.0,0.1015625,14885,12800,100,67227648,67231744,4096,deterministic_proxy_not_real_tokenizer,"[""e0e651503c182443""]",True,False,False
budget_sweep_20260716,0,q_hobby,128,1,20,100,0.3,42,hash,32,2026-07-10 10:00,0.5556,17,1,1,20,20,0.0,0.0,0.0,0.0,1.0,0.0,0.1328125,14885,12800,100,67231744,67231744,0,deterministic_proxy_not_real_tokenizer,"[""478262c489e87c89""]",True,False,False
budget_sweep_20260716,0,q_book,256,1,20,100,0.3,42,hash,32,2026-07-10 10:00,0.5502,17,1,1,20,20,0.0,1.0,1.0,0.0,1.0,0.0,0.06640625,14885,12800,100,67231744,67231744,0,deterministic_proxy_not_real_tokenizer,"[""39a02bac3fdeec9c""]",True,False,False
budget_sweep_20260716,0,q_food,256,1,20,100,0.3,42,hash,32,2026-07-10 10:00,0.4769,13,1,1,20,20,1.0,1.0,1.0,0.0,0.0,0.0,0.05078125,14885,12800,100,67231744,67231744,0,deterministic_proxy_not_real_tokenizer,"[""e0e651503c182443""]",True,False,False
budget_sweep_20260716,0,q_hobby,256,1,20,100,0.3,42,hash,32,2026-07-10 10:00,0.4593,17,1,1,20,20,0.0,0.0,0.0,0.0,1.0,0.0,0.06640625,14885,12800,100,67231744,67231744,0,deterministic_proxy_not_real_tokenizer,"[""478262c489e87c89""]",True,False,False
